"","treeage","stemB","branchB","leafB","rootB","totalB","stemC","branchC","leafC","rootC","totalC"
"1",0,0,0,0,0,0,0,0,0,0,0
"2",2,0,0,0,0,0,0,0,0,0,0
"3",4,0.133,0.011,0.054,0.16,0.358,0.067,0.006,0.027,0.08,0.179
"4",6,1.771,0.155,0.324,0.979,3.229,0.886,0.078,0.162,0.489,1.614
"5",8,3.538,0.314,0.523,1.589,5.964,1.769,0.157,0.262,0.795,2.982
"6",10,6.467,0.582,0.795,2.426,10.27,3.234,0.291,0.397,1.213,5.135
"7",12,10.901,0.993,1.141,3.497,16.532,5.45,0.497,0.57,1.749,8.266
"8",14,13.168,1.205,1.301,3.992,19.665,6.584,0.602,0.65,1.996,9.833
"9",16,16.27,1.495,1.506,4.631,23.902,8.135,0.748,0.753,2.315,11.951
"10",18,16.671,1.533,1.531,4.71,24.445,8.335,0.766,0.766,2.355,12.223
"11",20,19.206,1.771,1.689,5.201,27.868,9.603,0.886,0.845,2.601,13.934
